,시군구코드,시군구명,주요역,대분류,중분류,기준연도,문화시설별ID,대분류명,중분류명,시설명,시설위도,시설경도,주요역위도,주요역경도,시설위경도,주요역위경도,소요시간
0,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_15191,,,놀숲 청주충북대점,36.6331702,127.457994,36.62009812,127.3275824,"36.6331702,127.457994","36.62009812,127.3275824",27
1,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_15409,,,르몽드제이,36.6128123,127.487835,36.62009812,127.3275824,"36.6128123,127.487835","36.62009812,127.3275824",28
2,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_15426,,,피노,35.691107,28.453349,36.62009812,127.3275824,"35.691107,28.453349","36.62009812,127.3275824",-1
3,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_15708,,,북메이커,36.6329,127.457021,36.62009812,127.3275824,"36.6329,127.457021","36.62009812,127.3275824",28
4,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_15791,,,피우다,36.635561,127.457581,36.62009812,127.3275824,"36.635561,127.457581","36.62009812,127.3275824",26
5,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_15943,,,아쿠아B&K,36.606622,127.47067,36.62009812,127.3275824,"36.606622,127.47067","36.62009812,127.3275824",23
6,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_16136,,,청주현대스포랜드,36.634813,127.462753,36.62009812,127.3275824,"36.634813,127.462753","36.62009812,127.3275824",28
7,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_16178,,,청주시시설관리공단(청주수영장),36.641108,127.469936,36.62009812,127.3275824,"36.641108,127.469936","36.62009812,127.3275824",33
8,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_16465,,,레드락볼링클럽,36.634439,127.462664,36.62009812,127.3275824,"36.634439,127.462664","36.62009812,127.3275824",28
9,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_16466,,,토드 볼링장,36.611596,127.468596,36.62009812,127.3275824,"36.611596,127.468596","36.62009812,127.3275824",26
10,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_16495,,,우성볼링장,36.610679,127.482154,36.62009812,127.3275824,"36.610679,127.482154","36.62009812,127.3275824",26
11,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_16496,,,하나로 프로샵,36.608165,127.487997,36.62009812,127.3275824,"36.608165,127.487997","36.62009812,127.3275824",26
12,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_16497,,,에이. 비. 시볼링장,36.617107,127.481198,36.62009812,127.3275824,"36.617107,127.481198","36.62009812,127.3275824",27
13,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_17103,,,삼천리자전거(사창점),36.635172,127.468565,36.62009812,127.3275824,"36.635172,127.468565","36.62009812,127.3275824",30
14,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_19122,,,엘리트 스포츠,36.6181386,127.4854758,36.62009812,127.3275824,"36.6181386,127.4854758","36.62009812,127.3275824",28
15,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_19299,,,㈜한누리관광,36.6356992,127.471284,36.62009812,127.3275824,"36.6356992,127.471284","36.62009812,127.3275824",30
16,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_19303,,,서청주 풀잎문화센터,36.6365068,127.4605955,36.62009812,127.3275824,"36.6365068,127.4605955","36.62009812,127.3275824",28
17,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_19435,,,리연비(LIYEON B),36.6367143,127.4602545,36.62009812,127.3275824,"36.6367143,127.4602545","36.62009812,127.3275824",29
18,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_19633,,,북스벨리(서원대점),36.6259813,127.482118,36.62009812,127.3275824,"36.6259813,127.482118","36.62009812,127.3275824",32
19,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_20065,,,모리상점&studio mori,36.612273,127.452058,36.62009812,127.3275824,"36.612273,127.452058","36.62009812,127.3275824",21
20,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_20089,,,신일체육사,36.6204013,127.491858,36.62009812,127.3275824,"36.6204013,127.491858","36.62009812,127.3275824",30
21,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_21204,,,청주남부정류장,36.608153,127.479594,36.62009812,127.3275824,"36.608153,127.479594","36.62009812,127.3275824",22
22,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_21451,,,청주시립미술관,36.634693,127.478402,36.62009812,127.3275824,"36.634693,127.478402","36.62009812,127.3275824",31
23,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_21854,,,청주 VR바이러스,36.630714,127.464445,36.62009812,127.3275824,"36.630714,127.464445","36.62009812,127.3275824",30
24,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_22383,,,잔느(ZANNE),36.6359353,127.4806103,36.62009812,127.3275824,"36.6359353,127.4806103","36.62009812,127.3275824",31
25,43112,청주시 서원구,오송,장애우,문화누리카드,2021,KC_615_22577,,,벨로체피아노악기사(벨로체피아노),36.644692,127.4783019,36.62009812,127.3275824,"36.644692,127.4783019","36.62009812,127.3275824",27
